Epoch 10 | Loss: 0.2741 | Time: 40.40s
Epoch 1 | Loss: 1.8779 | Time: 38.50s
Epoch 2 | Loss: 0.7721 | Time: 38.24s
Epoch 3 | Loss: 0.4787 | Time: 38.24s
Epoch 4 | Loss: 0.3886 | Time: 38.20s
Epoch 5 | Loss: 0.3460 | Time: 38.14s
Epoch 6 | Loss: 0.3222 | Time: 38.24s
Epoch 7 | Loss: 0.3044 | Time: 38.37s
Epoch 8 | Loss: 0.2846 | Time: 39.04s
Epoch 9 | Loss: 0.2750 | Time: 38.71s
Epoch 10 | Loss: 0.2601 | Time: 39.39s
